,name,business_id,review_count,is_open,stars,city,categories
0,Kabob Palace,saWZO6hB4B8P-mIzS1--Xw,15,0,2.5,Las Vegas,"Persian/Iranian, Restaurants, Ethnic Food, Food, Greek, Specialty Food"
2,Artisanal Foods Cafe,pmJqSsCfgbo3TxPWpQNLIw,35,0,4.5,Las Vegas,"American (New), Cafes, Restaurants"
4,Baileys Sports Bar & Eatery,kUUBBLBHCasOl2a5nW9nAw,9,0,3.5,Las Vegas,"Nightlife, Bars, Restaurants, Thai, Sports Bars"
6,Big Mamas Soul Food Rib Shack,InDH4ZQ_byiQ5PyaqgHI8Q,6,0,2.0,Las Vegas,"Barbeque, Restaurants, Southern"
7,Red Apple Grill,WleVOQ9YhBYl4SWrlsLDhA,6,0,3.5,Las Vegas,"Restaurants, Burgers, Local Flavor, Barbeque"
9,Mark Richs New York Pizza & Pasta,kUntNQ5P9IrRzEoHdRxV-w,74,0,3.5,Las Vegas,"Restaurants, Pizza"
10,Fair View Chinese Cuisine,-vb_yx5QnIhpXUIdPVD2og,7,0,3.5,Las Vegas,"Restaurants, Chinese"
11,Jugoo Chinese Restaurant,3rkxTx8DoZSl7_FryhXCVQ,34,0,3.5,Las Vegas,"Restaurants, Chinese"
13,Vince Neils Tatuado Cantina,CCNp1qS8n2gh51X7Wadabw,60,0,2.0,Las Vegas,"Mexican, Restaurants"
17,My Healthy Meal,RxZpGcmMmUUlLn8c6RTk8w,13,0,3.5,Las Vegas,"Food, Vegetarian, Vegan, Restaurants, American (New)"
26,iCheese Pizza & Su,8jj6dYkZtxTCsq_Y-C_DtQ,22,0,4.5,Las Vegas,"Restaurants, Sandwiches, Fast Food, Pizza"
27,The Las Vegas Grille,DO3FefiMYiPYsEl6O8W2dw,82,0,4.5,Las Vegas,"Chicken Wings, Barbeque, Restaurants"
31,Fiesta Chips & Salsa,BmyRJmbVm4jGlkXg4ncLJQ,38,0,3.0,Las Vegas,"Mexican, Restaurants"
37,Island Flavor,BvV9SSaQhC4fvpC3XyQjjA,4,0,4.0,Las Vegas,"Hawaiian, Italian, Restaurants"
38,Muse Asian Cuisine & Lounge,w_A1qFeQ3vOl7o4kdBxPXA,14,0,3.5,Las Vegas,"Karaoke, Coffee & Tea, Bars, Restaurants, Lounges, Asian Fusion, Nightlife, Food, Cafes"
39,Dumpling King,XlUuMGMvkzy_QLAUTEe-fw,120,0,3.5,Las Vegas,"Restaurants, Szechuan, Chinese, Halal, Dim Sum"
40,House of Vino,n8XlV8E3BUBBF1gCe6mvEg,34,0,3.5,Las Vegas,"Restaurants, Beer, Wine & Spirits, Delis, Food, Grocery"
41,Springs Cafe by Wolfgang Puck,2BbFeotL85cIaBjSq1SWiA,23,0,2.5,Las Vegas,"Restaurants, American (New)"
45,Chieti Coffee & Roasting,r1Uj2CHlp0N3U_XKMIk_GA,34,0,4.0,Las Vegas,"Restaurants, Cafes, Delis, Food, Bakeries, American (New)"
46,Jolly Beans Cafe-Rainbow,_Aj02-sb1QDNIVXK64qTVw,8,0,4.0,Las Vegas,"Breakfast & Brunch, Food, Restaurants, Coffee & Tea"
48,K Jun Chicken,-CZwX0Fy14DGCY_2aFkhKg,5,0,3.5,Las Vegas,"Chicken Wings, Korean, Restaurants"
52,Mammas Boy Cafe,hD4nmY8c9FRsBNzN1QjObQ,10,0,3.5,Las Vegas,"Soul Food, Restaurants, Cafes"
54,Emjays New York Pizza,7k6uHs6oPyh5AuaqrhC5yw,7,0,3.5,Las Vegas,"Pizza, Restaurants"
57,Tacos Mexico,eGLnLiKt58jHNjGVw149Nw,9,0,2.5,Las Vegas,"Mexican, Restaurants"
59,Winter In July - A Pop-Up Lunch with Yonaka and Snow Shavery,QCbptr697vAb630rIq9gUQ,7,0,5.0,Las Vegas,"Restaurants, Japanese, Chinese, Local Flavor"
60,Noodle Palace,EjYGxyksao-Jhw86tIAiYQ,54,0,3.5,Las Vegas,"Restaurants, Chinese"
68,DB Brasserie,d482l58ho0_IMdFkXX1F5Q,317,0,3.5,Las Vegas,"Brasseries, French, Restaurants, Nightlife, Bars"
80,Guthries,zzzaIBwimxVej4tY6qFOUQ,36,0,3.5,Las Vegas,"Southern, Restaurants"
83,Onyx Restaurant At  Bogeys,VntjrwqcYS2WPKWjurzf9Q,9,0,3.5,Las Vegas,"American (New), Restaurants"
84,Silk Road,LH-DYCy9v3kM4JRtpcquxw,24,0,3.5,Las Vegas,"Seafood, Restaurants, American (New)"
88,Booming Pot Noodles,jnroKk9qi0FR2bFSkxYZNg,150,0,4.0,Las Vegas,"Restaurants, Soup, Taiwanese, Chinese"
90,SinCity Burgers,cxnbk6t6L3jnfT5n2Hbl3Q,69,0,3.5,Las Vegas,"Restaurants, Burgers"
94,Nu Sanctuary Lounge,stbX9rtRIpDF-VymOwHJ8w,68,0,2.5,Las Vegas,"American (New), Restaurants, American (Traditional), Bars, Hookah Bars, Nightlife, Mediterranean"
96,Pats Chinese Food and Minimart,G3u4eA85qY8t3LWtiU27qQ,4,0,3.0,Las Vegas,"Restaurants, Chinese"
99,Midtown,rLMsz9ams_xrlX_weejhtQ,44,0,4.0,Las Vegas,"Restaurants, Wine Bars, Lounges, Bars, Italian, Food, Nightlife, Pizza, Coffee & Tea, Sports Bars"
101,Pineapple Park,P5BBNzZyMVoeToNsrSkrHA,47,0,4.0,Las Vegas,"Restaurants, Juice Bars & Smoothies, Food Court, Food, Desserts, Ice Cream & Frozen Yogurt"
102,Restaurant Charlie,ByF6BhEWd8if3hiNM-BU9w,29,0,4.0,Las Vegas,"Restaurants, Steakhouses, Asian Fusion, Seafood"
103,Sushic,C47xNSByH-2k7WbX9Yx6kw,5,0,4.0,Las Vegas,"Restaurants, Sushi Bars, Korean, Japanese"
106,Las Famosas De Jose,KTQHeWmwLxDQEt7GN7n3pA,9,0,3.5,Las Vegas,"Restaurants, Mexican"
113,Pam Real Thai Las Vegas,DbK9fyJq4O4zfT1jv6JOhw,78,0,4.5,Las Vegas,"Thai, Food, Restaurants, Food Delivery Services"
118,Sushi Dan,8DcFtolCfmxupCg-ijNJQA,11,0,3.5,Las Vegas,"Sushi Bars, Restaurants"
121,Subway,NJ2Oyy9MH0qxYiLnVHfPiw,7,0,3.5,Las Vegas,"Restaurants, Sandwiches"
125,Island Grill,BntSl0d6YiwGR69cZs7PPg,9,0,4.0,Las Vegas,"Lounges, Nightlife, American (New), Bars, Restaurants"
128,Boardhouse Serious Sandwich,Y4nw_rZUPGw-aRdx6kv4kA,9,0,2.5,Las Vegas,"Restaurants, Sandwiches"
131,Grind Burger Bar and Lounge,UcgCSTCtPv1GeW5bKsEdag,199,0,4.0,Las Vegas,"American (New), Restaurants, Burgers"
138,Canters Delicatessen,FooKqQJ3UnsIG2slFPuLRA,141,0,3.5,Las Vegas,"Sandwiches, Restaurants, Delis"
139,Taste Market & Deli,Opxi_-aCcn6S-dj7JzRE2Q,4,0,4.0,Las Vegas,"Grocery, Sandwiches, Salad, Restaurants, Food"
140,Ogdens Hops and Harvest,J7EUrh1q3lgENaoTrHZl_w,73,0,3.5,Las Vegas,"American (New), Restaurants"
143,Bottles & Burgers By Double Helix,eDn45jTzYgCXhG4a_1wykQ,82,0,3.0,Las Vegas,"Burgers, Beer, Wine & Spirits, Food, Restaurants"
149,Togoshi Ramen,BFZ4mqQ3hRKxzbdOU2Nrqw,28,0,4.0,Las Vegas,"Restaurants, Japanese"
151,Sugar Factory,WDKTg468bkRPW0LqbAZfmg,324,0,3.5,Las Vegas,"Brasseries, Candy Stores, Pizza, Restaurants, Specialty Food, Food, Burgers, American (New)"
152,Los Tarascos Tacos,_HU30V8E6vuENIDsb0r82A,4,0,4.0,Las Vegas,"Mexican, Restaurants"
153,Dos Caminos,jPvn-C8kNUcyGfjUtOc_oA,54,0,3.0,Las Vegas,"Mexican, Restaurants"
158,Sahara Buffet,0lxyY2bwmpde2QHcnh8fZQ,47,0,2.0,Las Vegas,"Buffets, Restaurants"
164,Tokyo Peking Asian Restaurant,O7godQv-9pyQJ2JvCMiQjw,20,0,4.0,Las Vegas,"Sushi Bars, Japanese, Salad, Restaurants, Asian Fusion"
170,Sea Stone,Q-uKlL1dEX8CBISwGAXDrw,4,0,3.0,Las Vegas,"Asian Fusion, Restaurants, Sushi Bars"
171,Rare 120,1VTezD8PLosh-FeNxSRQ7g,76,0,3.0,Las Vegas,"Restaurants, Steakhouses"
172,Lickliders Deli & Grill,dpVMSMJjJtwhO_Zvugc5_w,4,0,5.0,Las Vegas,"Restaurants, Breakfast & Brunch, Food Delivery Services, Delis, American (Traditional), Food"
190,Gordon Biersch Brewery Restaurant,iPM85PQMs7QoAxw-Og9ChQ,185,0,3.5,Las Vegas,"Breweries, Restaurants, Food, American (New)"
191,Quarks Bar & Restaurant,9QtHDX71JnaQbmzWWVbi-A,42,0,4.0,Las Vegas,"Restaurants, American (New)"
199,Ah So,C2QQN6wmEBSCcohrMP7s5A,7,0,3.5,Las Vegas,"Restaurants, Fast Food, Chinese"
201,Linas Mexican Restaurant,2qIZlW8YSLL8a7I6KkJdHQ,38,0,3.5,North Las Vegas,"Mexican, Restaurants"
206,Les Artistes Steakhouse,I_aIzz-3iKA3o7G6S4A30w,52,0,3.5,Las Vegas,"Steakhouses, Restaurants"
207,Hookah Palace,hk7BUC8zi7xXPo2GGU4v7w,10,0,1.5,Las Vegas,"Music Venues, Dance Clubs, Bars, Mexican, Middle Eastern, Nightlife, Restaurants, Hookah Bars, Arts & Entertainment"
208,Potato Corner,h-SX2dxluF4oM_Zxp7eK4Q,16,0,4.0,Las Vegas,"Restaurants, Fast Food, American (New), Specialty Food, Chicken Wings, Food"
213,Italian Delights,6lJB8vc2zNpHpZLuBxGU5A,5,0,2.0,Las Vegas,"Restaurants, Italian"
215,Skybox Sports Bar & Grill,swl9MCD8CU7kbNvn0L4SJg,66,0,3.0,Las Vegas,"Sports Bars, Restaurants, American (New), Nightlife, Bars, Burgers"
216,Ichiban,rj1k50ClMKuKdnLtQUDIag,16,0,2.0,Las Vegas,"Restaurants, Chinese, Japanese"
220,Firkin On Paradise,uKlkVuZ5F8QoGbgVQKqH1A,100,0,3.5,Las Vegas,"Bars, Restaurants, Nightlife, Pubs, British, American (Traditional)"
221,Ballys Steakhouse,F0QPkgrcXx1xBxXT7Htuhg,65,0,3.5,Las Vegas,"Restaurants, Steakhouses"
222,Sirio Ristorante,0xdpv5CPpbUUch7JKBG98Q,163,0,3.5,Las Vegas,"American (New), Restaurants, Italian"
226,Sweet Chill,TZM4eiv3CtR9CBPtknXgDw,17,0,3.5,Las Vegas,"Desserts, Sandwiches, Restaurants, Ice Cream & Frozen Yogurt, Food"
234,Shanghai Lilly,kVqsDQRGxZXdJsH8LpEhww,37,0,3.0,Las Vegas,"Restaurants, Chinese"
235,Arbys,gQ9qXrLNnowN6YrGhJFTYQ,5,0,3.0,Las Vegas,"Sandwiches, Restaurants, Fast Food"
236,Primos Steakhouse,mORvJviGBgbJ5Woui-FcOA,5,0,4.5,Las Vegas,"Steakhouses, Restaurants"
237,Haifa Restaurant,8945PbOxSjb6hwHdVWWUIw,12,0,2.0,Las Vegas,"Mediterranean, Restaurants, Kosher"
240,Pura Vida Bakery & Bystro,SuRxV4YkPsvyyqK57On0rQ,220,0,3.5,Las Vegas,"Food, Caribbean, Restaurants, Vegan, Bakeries"
241,Pork & Beans,d4iX947_lcV0jWHprdMKYA,25,0,3.0,Las Vegas,"Fast Food, American (New), Restaurants, Gastropubs"
246,Lady Ds Pizzeria,8VCyDz3DHrlo5TFt8T1x6Q,6,0,1.0,Las Vegas,"Pizza, Restaurants"
247,Meatball Spot,Tf13Wexrt6WmNw-CDW5Gyg,194,0,2.5,Las Vegas,"American (New), Restaurants, Italian"
250,Amorino Las Vegas,bUnm0-YK5HicLzkvMWwqjQ,53,0,4.5,Las Vegas,"Italian, Restaurants, Gelato, Desserts, Food, Ice Cream & Frozen Yogurt, Coffee & Tea"
252,Happys Pizza,EkOqxlglUpw9YUdnTbbJKg,31,0,3.0,Las Vegas,"Restaurants, Pizza"
253,Wienerschnitzel,45IHzSJj49HJn32G3j6H_A,3,0,1.0,Las Vegas,"Fast Food, American (New), Restaurants"
254,Espresso King Kafe 2,aHpsw58YOeHnoQt8Vn5O2w,5,0,3.0,Las Vegas,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants"
255,Haulin Balls,YZ4P5I-OsQxVVoTENo1OAg,30,0,3.5,Las Vegas,"Street Vendors, Food, Restaurants, Food Stands"
258,Bistro Divino,v7ZFEEqJBg_r8NCwHRP_2A,3,0,4.5,Las Vegas,"Wine Bars, Bars, Pizza, Nightlife, Restaurants"
262,Daniel Boulud Brasserie,qmh6zxtJ8C8-YiUPv7ySlw,219,0,4.0,Las Vegas,"French, Restaurants"
264,Bilbos Bar & Grill,HLxH6vmyNY3lEZtno0XPrQ,9,0,3.5,North Las Vegas,"American (Traditional), Restaurants, Nightlife, Bars"
272,Mings Table,NFOj3uboFzeNF5X-dWUd_w,36,0,2.5,Las Vegas,"Restaurants, Chinese"
277,KFC,t8rluekhg8LVJXwbTYaZVQ,3,0,2.5,Las Vegas,"Restaurants, Fast Food"
283,Na Na Thai Kitchen,DXJwwkbTLpVKrFw26-8tcQ,3,0,4.5,Las Vegas,"Restaurants, Thai"
288,The Griddle Caf\xc3\xa9,QGAv-8tj5i4m4G-HDMnIbA,244,0,4.0,Las Vegas,"American (Traditional), Cafes, Restaurants, Sandwiches, Breakfast & Brunch, Diners"
289,Tropical Breeze Cafe,3X-SMnyYq77IYEnyCp-TtQ,80,0,2.5,Las Vegas,"American (Traditional), Restaurants, Diners, Pizza"
295,Quesadilla,zwddv6HjTjDx9fOr3MFtwQ,29,0,2.5,Las Vegas,"Mexican, Restaurants"
297,First Food & Bar,_ixV2SWDy7w8jzEAHp85qA,357,0,3.5,Las Vegas,"American (New), American (Traditional), Nightlife, Bars, Restaurants"
