,name,business_id,review_count,is_open,stars,city,categories
1,Taste of India,hMh9XOwNQcu31NAOCqhAEw,33,1,3.5,Las Vegas,"Restaurants, Vegetarian, Indian"
3,The Salted Lime,V94gk_Vx0Ot623UGHG6PrA,105,1,3.0,North Las Vegas,"Restaurants, Mexican, American (Traditional)"
5,Wingstop,A2pZTpFXWC38z506XIhnBQ,41,1,3.5,Las Vegas,"Chicken Wings, Fast Food, Restaurants"
8,Presto Calzone Bakery,gMUAn6xcuE-TbY1seFw_Ww,132,1,4.5,Las Vegas,"Desserts, Food, Pizza, Restaurants, Bakeries"
12,Itoy Sariling Atin,kJl3l4fSa2spv_Mkhgogmg,103,1,3.5,Las Vegas,"Filipino, Restaurants"
14,McDonalds,rECgTdKelvefty5JIXHDbg,36,1,2.0,Las Vegas,"Fast Food, Restaurants, Burgers"
15,Taco Bell Cantina,mB_cI1tCrNxxvr2e2myNrQ,76,1,3.0,Las Vegas,"Mexican, Restaurants, Fast Food"
16,Public House,KaGZE0_o1EmmSN4Fo_cpUw,198,1,3.0,Las Vegas,"Nightlife, Food, American (Traditional), Restaurants, Sports Bars, Burgers, Bars, Beer, Wine & Spirits"
18,Wasabi Janes Venetiaen,8cn8zqkyz-UpGKXcKeIRYA,6,1,2.0,Las Vegas,"Japanese, Restaurants"
19,Ristorante Italiano,F7E3qP0oz_SuVGZGL0D8Zw,3,1,3.0,Las Vegas,"Restaurants, Italian"
20,Cactus Cafe,QVcSKzl47nrO_LWFzz5AJQ,4,1,5.0,Las Vegas,"Restaurants, American (Traditional), Persian/Iranian, Food Stands"
21,Wendys,1tNVPumjvFErYjvSXbOQ6Q,8,1,2.0,Las Vegas,"Restaurants, Burgers, Fast Food"
22,Taco Bell,cJ5i4V6_VKjkOeEHD4ENeQ,27,1,3.0,Las Vegas,"Fast Food, Mexican, Tex-Mex, Restaurants"
23,Mama Marias Mexican Restaurant,tstimHoMcYbkSC4eBA1wEg,120,1,4.5,Las Vegas,"Restaurants, Mexican"
24,Rays Pizzeria and Restaurant,FZDcm4f7aOvYK7aD7aBtvA,12,1,2.5,Las Vegas,"Restaurants, Pizza"
25,Mi Pueblo Taco Shop,OQcvO5P3gH0cuJ-bPXwfQQ,40,1,5.0,Las Vegas,"Restaurants, Mexican"
28,Island Pacific Seafood Market,ICWQfTi_Dvo723ZJicR8Vw,48,1,3.5,Las Vegas,"Ethnic Grocery, Specialty Food, Food, International Grocery, Ethnic Food, Imported Food, Filipino, Restaurants, Grocery, Seafood"
29,Imsiam Thai Restaurant and Noodle,q4i-GbjeSp6ucBDXGE9DqA,21,1,4.5,Las Vegas,"Thai, Restaurants, Noodles"
30,Subway,sM43AJF72Lv7RVsy3jEuIg,15,1,3.0,Las Vegas,"Sandwiches, Restaurants, Fast Food"
32,Sage,f9sU31meK0bqAD7922sCog,917,1,4.0,Las Vegas,"Mediterranean, Restaurants, American (New)"
33,Drugstore Cafe,Do4n_yK_K6DmR9_Es5qwlA,148,1,3.5,Las Vegas,"Restaurants, Desserts, Coffee & Tea, Food, Sandwiches, Delis, Cafes"
34,Tom Colicchios Craftsteak,xkVMIk_Vqh17f48ZQ_6b0w,1915,1,4.0,Las Vegas,"Steakhouses, Restaurants, Cheesesteaks, Food, American (New), Desserts"
35,Food Court at Fashion Show Mall,mgc8BmE6Tdt4MVOy6siZoA,35,1,2.5,Las Vegas,"Food Court, Restaurants, Food"
36,Nook Caf\xc3\xa9,Uux8P1ruzjPTQgOeYx68rg,63,1,3.5,Las Vegas,"Cafes, Coffee & Tea, Food, Breakfast & Brunch, Restaurants"
42,Pink Taco,d4qwVw4PcN-_2mK2o1Ro1g,841,1,3.5,Las Vegas,"Mexican, Restaurants"
43,Robo Duck Truck,OdkdPXjzrSvx5XW2t4pS2A,6,1,4.5,Las Vegas,"Food, Restaurants, Food Trucks, Asian Fusion"
44,Port of Subs,xxaqaD9IVsqxiNF8FoHdYA,5,1,5.0,Las Vegas,"Restaurants, Sandwiches, Delis"
47,Ramen Sora,4k3RlMAMd46DZ_JyZU0lMg,1008,1,4.0,Las Vegas,"Japanese, Restaurants, Ramen, Noodles"
49,Korean Garden BBQ House,Po0QGzgwFrfnGJEi_akCjA,260,1,3.0,Las Vegas,"Korean, Barbeque, Restaurants"
50,El Ausente,K-0pdH5hZQVeoUmYSNygQw,22,1,5.0,Las Vegas,"Mexican, Restaurants"
51,Waterside Cafe,mys2H61EqcO4AJpnzi61ZA,3,1,3.0,Las Vegas,"Restaurants, Cafes"
53,Daily Kitchen Modern Eatery and Rotisserie,YCEZLECK9IToE8Mysorbhw,143,1,3.5,Las Vegas,"Breakfast & Brunch, American (New), Restaurants"
55,Crunch Donut Factory,2rvBPUBtQU0WfcOAHLQWRQ,27,1,4.0,Las Vegas,"Waffles, Desserts, Restaurants, Cupcakes, Donuts, Ice Cream & Frozen Yogurt, Food"
56,Mezzo Bistro and Wine,h3pMMRwqBjMeMtk0_qQzRQ,332,1,3.5,Las Vegas,"Italian, Restaurants"
58,N9NE Steakhouse,6xgcHeLad-VaoTIQewK84A,800,1,4.0,Las Vegas,"Steakhouses, Restaurants, American (Traditional), Seafood"
61,Winchells Donuts,QcdKTLeP3J5Ki-fVcPZkfA,33,1,4.0,Las Vegas,"Restaurants, Donuts, Sandwiches, Food"
62,Empire Bagels,E6VoYfE4YDQueOHYpdyQaQ,76,1,3.0,Las Vegas,"Food, Restaurants, Bagels, Delis, Breakfast & Brunch"
63,North Star Bar & Grill,KwxLywiOt7L8t7fsMsd9VQ,24,1,4.0,North Las Vegas,"Restaurants, Nightlife, American (Traditional), Bars, Salad, American (New), Pubs"
64,Chipotle Mexican Grill,gWlasTc2Af0VV24mCR1tWg,42,1,2.5,Las Vegas,"Restaurants, Fast Food, Mexican"
65,Boba Hut,VzUo-RURV3VnfNItAYM8yg,181,1,4.0,Las Vegas,"Restaurants, Chinese, Hawaiian, Food, Coffee & Tea, Asian Fusion, Bubble Tea"
66,Izakaya Cocokala,3GfdCuI0YCc5U3rLLLPHUw,96,1,4.0,Las Vegas,"Sushi Bars, Asian Fusion, Tapas/Small Plates, Food, Salad, Tapas Bars, Seafood, Desserts, Ramen, Japanese, Restaurants"
67,Bobo China,H_eO04NZAQIDcbtFQ4BUag,158,1,4.5,Las Vegas,"Restaurants, Fast Food, Chinese"
69,Quiznos,19wIOjBlI_2EKGM8E4O6Mg,18,1,2.0,Las Vegas,"Delis, Restaurants, Fast Food, Sandwiches"
70,Brand Steakhouse,uuGlYAIvYAX1q1KhpY6dtA,481,1,4.0,Las Vegas,"Nightlife, Steakhouses, American (Traditional), Restaurants, Bars"
71,Cuba Cafe,jmyvOW6G2T1fIePvajB4nQ,261,1,4.0,Las Vegas,"Tapas Bars, Cuban, Restaurants"
72,Sergios Italian Gardens,VYNriOotbFZ7Qj_6jwUB5g,129,1,4.0,Las Vegas,"Italian, Restaurants, Event Planning & Services, Venues & Event Spaces, Caterers"
73,Bentleys Bar and Grill,Erj_jPPdF3IupgNS1Yfm4w,23,1,3.0,Las Vegas,"Pizza, Restaurants, Food, Bars, Sports Bars, American (Traditional), Nightlife, Beer, Wine & Spirits"
74,Murdock Meals,y-O3h7CV6X6P5ey1ZFcQwA,4,1,5.0,Las Vegas,"Food, Health & Medical, Health Markets, Restaurants, Food Delivery Services, Specialty Food, Home Services, Desserts, Weight Loss Centers, American (New)"
75,Nanay Glorias,Ta4GRuHyZvU5H_l5IAG1PQ,128,1,3.5,Las Vegas,"Filipino, Restaurants"
76,Kkulmat Korean Kitchen,cAs1-wyAjvfsK1Vgo1jCWA,6,1,4.0,Las Vegas,"Restaurants, Korean"
77,Starbucks,V8HEOhiEUU2i-VHcp_K8lQ,21,1,3.0,Las Vegas,"Desserts, Food, Restaurants, Sandwiches, Coffee & Tea"
78,Pizza Hut,i5EhA_T8_eWLr4_4DGDS5w,22,1,2.5,Las Vegas,"Pizza, Restaurants"
79,Fortune Chinese Restaurant,2xbxXWeu3tpZEJdGTTGbLg,13,1,4.0,Las Vegas,"Restaurants, Chinese"
81,Wildburger,-SWWUof5TuWDVL5SEAml8Q,3,1,4.0,Las Vegas,"Burgers, Hot Dogs, Restaurants"
82,Olive Garden Italian Restaurant,XdOxflXrlWRdL9IWzXC54Q,146,1,3.5,Las Vegas,"Wine Bars, Nightlife, Restaurants, Bars, Italian, Salad"
85,Subway,IsVtFDJgNzBdTce2xSOmwQ,12,1,2.5,Las Vegas,"Fast Food, Sandwiches, Restaurants"
86,Tasty BBQ Kitchen,N3zuaqGESF5iZsi_md9c1Q,19,1,4.0,Las Vegas,"Restaurants, Chinese, Barbeque"
87,Simon and Joes Eatery,3p7mUvZtYocYf8gYEENGxw,25,1,4.5,Las Vegas,"Food, Restaurants, Mediterranean, Bakeries"
89,Burger King,wxaL2gVWUHaD2C1ey3W8jg,11,1,1.5,North Las Vegas,"Fast Food, Burgers, Restaurants"
91,Applebees,Wg91oE233AzNieNryRJYYg,89,1,3.0,Las Vegas,"Sports Bars, American (Traditional), Restaurants, Nightlife, Bars, American (New), Burgers"
92,Port of Subs,K-fw0gOHs5sF--_SRZa2Qg,30,1,4.0,Las Vegas,"Restaurants, Sandwiches, Delis"
93,Fat Dumpling,6z3cgIE9dJ01wUm43f0yBQ,188,1,3.5,Las Vegas,"Bubble Tea, Chinese, Restaurants, Food"
95,Honey Pig Korean BBQ,OXBROmBWuDhRhd0BZ7zXJA,42,1,3.5,Las Vegas,"Restaurants, Korean, Barbeque"
97,Rons Steakhouse,Yiz2cRBakfVUOHsThLKyoQ,49,1,4.0,Las Vegas,"Steakhouses, Restaurants"
98,Arizona Charlies Decatur,DyVteo8Blf5gEfC9QbJE9A,127,1,3.0,Las Vegas,"Event Planning & Services, Casinos, Arts & Entertainment, Hotels, Restaurants, Hotels & Travel"
100,Milanos Pizzeria,-Tv5UZeFHdKz3RM9vOYpaw,4,1,3.5,Las Vegas,"Restaurants, Pizza"
104,Mulligans Border Bar & Grill,bymQ0lRnBar5scP4FERioQ,37,1,4.0,Las Vegas,"Restaurants, American (New)"
105,Lolas A Louisana Kitchen,uWECX6-Uq9n8v5ipk9R29A,811,1,4.0,Las Vegas,"Cajun/Creole, Restaurants"
107,Michael Mina Pub 1842,YnmtUJGqQIQL9tz1MRyfqA,501,1,4.0,Las Vegas,"Gastropubs, Restaurants, Irish, Pubs, Nightlife, Bars"
108,El Cochinito Contento,pzhjeutsSFcFEDbLp67oeg,4,1,5.0,Las Vegas,"Mexican, Restaurants"
109,Ruby Tuesday,5iSlHNIy3RLbCP5AayB31g,121,1,3.5,Las Vegas,"Bars, Restaurants, Burgers, Nightlife, American (Traditional)"
110,Babystacks Cafe,s0vNtuLs1cwEqHTXKiS05w,370,1,4.0,Las Vegas,"Cafes, Restaurants, American (New), Hawaiian, Breakfast & Brunch"
111,China Passion,BKg8YIGX_5YyUczmBAyyCQ,31,1,4.5,Las Vegas,"Chinese, Restaurants, Soup, Food Delivery Services, Food"
112,China A Go Go,JOsBOphWK14yjq7FC1zL5w,66,1,3.5,North Las Vegas,"Chinese, Restaurants"
114,Pizza 9,U00_w-9WRddd5R_RGdzA0A,3,1,4.5,Las Vegas,"Restaurants, Chicken Wings, Food, Specialty Food, Pizza, Pasta Shops, Sandwiches, Salad"
115,The Noodle Man,kABF0hYfAEnl166mn1zR1A,361,1,4.0,Las Vegas,"Szechuan, Specialty Food, Soup, Restaurants, Local Flavor, Pasta Shops, Chinese, Food, Noodles"
116,PTs,lHCwqXdDSmlmqe88WpjeEg,47,1,3.0,Las Vegas,"Restaurants, Pubs, Sports Bars, Bars, Nightlife, American (New)"
117,Jimmy Johns,SmkGXa3XVZTXV04IcBkwLg,65,1,3.5,Las Vegas,"Delis, Food Delivery Services, Food, Sandwiches, Restaurants"
119,Wendys,94GNGMxmruuqRLRhLqllWw,37,1,3.5,Las Vegas,"Restaurants, Burgers, Fast Food"
120,Griddlecakes,oWD385Ues-RWJmhP_Riz1g,313,1,3.5,Las Vegas,"American (Traditional), Restaurants, Breakfast & Brunch"
122,Mr Chow,n0bg7kf6HcpFchCtxJyc5A,181,1,3.0,Las Vegas,"Chinese, Restaurants"
123,Winchells Pub & Grill,01SiPgdiOskMC5bUJoyy_g,100,1,3.5,Las Vegas,"Pubs, Restaurants, American (Traditional), Bars, Nightlife"
124,Lazeez,jXyy2Vc-Dgp7QguQJSfnXw,169,1,4.0,Las Vegas,"Mediterranean, Halal, Indian, Restaurants"
126,Papa Johns Pizza,xxYsX6Gj0-pj-kxKw092LQ,33,1,3.5,Las Vegas,"Pizza, Restaurants"
127,Ellis Island Casino & Brewery,EAwh1OmG6t6p3nRaZOW_AA,1758,1,4.0,Las Vegas,"Casinos, Breweries, Barbeque, Arts & Entertainment, Karaoke, American (Traditional), Restaurants, Bars, Pubs, Food, Nightlife"
129,Islands Restaurant,SycXTaA4MeJZuDK4Y1owDQ,206,1,3.5,Las Vegas,"Burgers, American (Traditional), Restaurants, Bars, Sports Bars, Nightlife"
130,Tacos Los Toritos,TZ0sFZnJi1w4CM0IcA4T6w,15,1,3.5,Las Vegas,"Mexican, Restaurants"
132,McCarran Marketplace,FK7JHSUMdznZefUW6X319A,3,1,5.0,Las Vegas,"American (Traditional), Home & Garden, Shopping, Shopping Centers, Restaurants"
133,Romanos Macaroni Grill,fpM-O9Ul62xizBq9YNO_tQ,136,1,3.0,Las Vegas,"Italian, Restaurants"
134,Blossom,5OqrwhtZ3mcmUSwLINZTWQ,211,1,4.0,Las Vegas,"Chinese, Restaurants"
135,Portofino by Chef Michael LaPlaca,74C1z6cqEdvJVgETTcEodw,227,1,4.0,Las Vegas,"Restaurants, Nightlife, Italian, Wine Bars, Lounges, Bars"
136,Tetsu,HGitzBs7x_fUvdTtrTacXg,74,1,4.0,Las Vegas,"Japanese, Restaurants"
137,Cafe Sienna,kI86MfVvZPJUm4RYy3YmUw,7,1,2.5,Las Vegas,"Restaurants, American (New)"
141,In-N-Out Burger,tgXiIcCoKYfg-hm8yLxenQ,46,1,4.0,Las Vegas,"Burgers, Fast Food, Restaurants"
142,El Birotazo,8zh9Uts1H32Cqfbar44TLw,38,1,4.0,Las Vegas,"Restaurants, Mexican"
144,Payless Pizza,GtrKMt4SFqh7eBl2CKeOIQ,8,1,2.0,Las Vegas,"Restaurants, Pizza"
145,Burger King,7SLZwNRhc2bpUXQXLypTTg,7,1,1.0,Las Vegas,"Food, Burgers, Fast Food, Restaurants"
146,Chef @ Your Home,prIta4agQiDpUQVY3MliFA,21,1,5.0,Las Vegas,"Restaurants, Event Planning & Services, Caterers, Personal Chefs"
147,Sin City Wings,qYf3gGP4PYZlV5CcQlorwA,44,1,3.5,Las Vegas,"Food Stands, Street Vendors, Chicken Wings, Restaurants, Food Trucks, Food"
148,Life Cafe,ayT30_GPYHqnrDhBe3IySQ,4,1,3.0,Las Vegas,"Restaurants, Cafes"
150,March\xc3\xa9 Bacchus,KalAJyO0Zpg3K1wVwYXBHA,509,1,4.0,Las Vegas,"Wine Bars, Nightlife, Bars, Restaurants, French"
154,Aces,bXISj8RpXaAilaPLtJuzKg,4,1,2.0,Las Vegas,"Food Stands, Restaurants"
155,Del Taco,03Yt7kMeYihN_y6ptiXxyQ,18,1,3.0,Las Vegas,"American (Traditional), Restaurants, Fast Food, Mexican"
156,Carls Jr,8JxhnIJyOOR4qpqhRr0eiw,9,1,2.5,Las Vegas,"Burgers, Fast Food, Restaurants"
157,Taco Bell,M1-aQ3XIMoAQeCUS0xQ4Mw,12,1,3.0,Las Vegas,"Mexican, Tex-Mex, Fast Food, Restaurants"
159,Lucky Streak at LAS,88vF_9_X9dJwZ7w-hwtMow,25,1,3.0,Las Vegas,"American (Traditional), Pubs, Restaurants, Bars, Nightlife"
160,Arbys Roast Beef Sandwich Restaurants,OquXguWr9eR81NYVdlZrjg,3,1,2.0,North Las Vegas,"Sandwiches, Restaurants, American (New), Fast Food"
161,McDonalds,mL9sLXHeA0q7aj8-BXXq4g,4,1,3.0,Las Vegas,"Fast Food, Restaurants"
162,El Pollo Loco,lsGIcUOadXjaRtKFNtrq8Q,9,1,2.0,Las Vegas,"Restaurants, Fast Food, Mexican"
163,PTs,JWhqCvKTs5vLwIrhrbgx7Q,40,1,3.0,Las Vegas,"Pubs, Sports Bars, Restaurants, Bars, American (New), Nightlife"
165,SkinnyFATS,3BCsAgo_1i4xMuTyLKMLRQ,1311,1,4.5,Las Vegas,"Juice Bars & Smoothies, Delis, Food, American (New), American (Traditional), Restaurants, Breakfast & Brunch, Food Delivery Services"
166,Blue Burrito Grille,ZsKWULhwwB61RHzCrb1i9A,31,1,2.5,Las Vegas,"Mexican, Restaurants"
167,All American Daves Fit Food Truck,ZQBUBnccfiCzQTrEwNy-xw,11,1,4.5,Las Vegas,"Food, Food Trucks, Food Delivery Services, Gluten-Free, Health & Medical, Restaurants, Nutritionists"
168,El Cazador,vXNMO4APx3TfVLWkqZSUMw,16,1,4.0,North Las Vegas,"Restaurants, Mexican"
169,Subway,PrFfdw7WuGAnrkyAIzX65g,21,1,2.5,Las Vegas,"Restaurants, Sandwiches, Fast Food, Soup"
173,360 Gourmet Burrito,Zd9Vav56GNFv2vKxh17WEw,8,1,1.5,Las Vegas,"Mexican, Restaurants, Fast Food"
174,Roccos NY Pizzeria,Gdv3qhsDeQzZ2Ag-Tzq6vA,240,1,4.0,Las Vegas,"Restaurants, Pizza"
175,Serranos Mexican Restaurant,bgx6gYdktqEoQwBdo5lRbA,111,1,4.5,Las Vegas,"Restaurants, Mexican"
176,Firefly,kRgAf6j2y1eR0wOFdzFAuw,1130,1,4.5,Las Vegas,"Restaurants, Tapas Bars, Spanish, Tapas/Small Plates"
177,Las Mkt,Mv2SeBkY0DASmwO1-mM-iQ,21,1,2.5,Las Vegas,"Sandwiches, Restaurants, American (Traditional)"
178,Popeyes Famous Fried Chicken and Biscuits,zb8kMYcte7WLcB-7CG3vNg,7,1,3.5,Las Vegas,"Restaurants, Fast Food"
179,Johnny Rockets,YLL7tZjII-lsEprbfVkMzQ,52,1,3.0,Las Vegas,"Restaurants, Sandwiches, Diners, Burgers, American (Traditional)"
180,La Reyna Mexican Restaurant & Mariscos,522GgMvOvzaKCEX6BfAtvg,15,1,4.0,Las Vegas,"Mexican, Restaurants"
181,Bacchanal Buffet,RESDUcs7fIiihp38-d6_6g,5715,1,4.0,Las Vegas,"Buffets, Sandwiches, Food, Restaurants, Breakfast & Brunch"
182,Auntie Annes,5iAFiMPfitcYDMeII5_dnQ,13,1,3.0,Las Vegas,"Fast Food, Food, Restaurants, Bakeries, Pretzels"
183,Pupuser\xc3\xada El Zunzal,ZcNe9rEAZVObPKFwtM8XaA,23,1,3.0,Las Vegas,"Restaurants, Latin American"
184,Pizza Hut,Rmw9HB35S9qobQKN6bXgmA,11,1,2.5,Las Vegas,"Pizza, Restaurants"
185,Las Taquizas,GdpiEeG8oe8BnpMaENJLfg,6,1,4.5,Las Vegas,"Mexican, Restaurants, Food Trucks, Food"
186,JJANGA Japanese Restaurant,6tSvz_21BMo3a4GaItwa0g,805,1,4.0,Las Vegas,"Sushi Bars, Japanese, Restaurants"
187,McFaddens Restaurant and Saloon,km5aBHRss5ir_B0jvEErzQ,306,1,2.0,Las Vegas,"Mediterranean, Irish, Restaurants, American (Traditional), Bars, American (New), Dive Bars, Nightlife"
